"ID","Replicate Number","Destination Herbarium","NOCA Acc Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
87,1.00,"NOCA",764.00,32403.00,83326.00,,"2005 North Cascades National Park Foray","Poaceae","Poa incurva","Poa","incurva","Scribn. & Will.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","540",,"05-540","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Basin on south slope of Rennie Peak.  About 5 airmiles northeast of Stehekin.",6732.00,,2052.00,,48.00,22.63,0.00,"N",120.00,34.93,0.00,"W","WGS 84",6.00,"GPS reading",10.00,679028.58,5361046.64,"WGS 84",6.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Granite outcrop and adjacent meadow at foot of Rennie Peak.","Scattered on rock outcrop.  Florels maroon and tan.",,"Native","Flowering",,"{E5958D71-FBB1-4C69-BFC3-C0E3B411BFDF}",679028.57,5361046.63,"NAD83","OK","Natalya Antonova"
88,2.00,"WTU",764.00,32404.00,83326.00,,"2005 North Cascades National Park Foray","Poaceae","Poa incurva","Poa","incurva","Scribn. & Will.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","540",,"05-540","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Basin on south slope of Rennie Peak.  About 5 airmiles northeast of Stehekin.",6732.00,,2052.00,,48.00,22.63,0.00,"N",120.00,34.93,0.00,"W","WGS 84",6.00,"GPS reading",10.00,679028.58,5361046.64,"WGS 84",6.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Granite outcrop and adjacent meadow at foot of Rennie Peak.","Scattered on rock outcrop.  Florels maroon and tan.",,"Native","Flowering",,"{E5958D71-FBB1-4C69-BFC3-C0E3B411BFDF}",679028.57,5361046.63,"NAD83","OK","Natalya Antonova"
89,1.00,"NOCA",764.00,32405.00,83333.00,,"2005 North Cascades National Park Foray","Ericaceae","Rhododendron albiflorum","Rhododendron","albiflorum","Hook.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","541",,"05-541","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Scattered. Flowers cream white.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
90,2.00,"WTU",764.00,32406.00,83333.00,,"2005 North Cascades National Park Foray","Ericaceae","Rhododendron albiflorum","Rhododendron","albiflorum","Hook.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","541",,"05-541","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Scattered. Flowers cream white.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
91,3.00,"UBC",764.00,32407.00,83333.00,,"2005 North Cascades National Park Foray","Ericaceae","Rhododendron albiflorum","Rhododendron","albiflorum","Hook.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","541",,"05-541","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Scattered. Flowers cream white.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
92,1.00,"NOCA",764.00,32408.00,83338.00,,"2005 North Cascades National Park Foray","Apiaceae","Lomatium brandegei","Lomatium","brandegei","(Coult. & Rose) Macbr.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","542",,"05-542","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Flowers yellow.  growing in rock crevices.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
93,2.00,"WTU",764.00,32409.00,83338.00,,"2005 North Cascades National Park Foray","Apiaceae","Lomatium brandegei","Lomatium","brandegei","(Coult. & Rose) Macbr.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","542",,"05-542","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Flowers yellow.  growing in rock crevices.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
94,3.00,"UBC",764.00,32410.00,83338.00,,"2005 North Cascades National Park Foray","Apiaceae","Lomatium brandegei","Lomatium","brandegei","(Coult. & Rose) Macbr.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","542",,"05-542","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Flowers yellow.  growing in rock crevices.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
95,4.00,"To be determined",764.00,32411.00,83338.00,,"2005 North Cascades National Park Foray","Apiaceae","Lomatium brandegei","Lomatium","brandegei","(Coult. & Rose) Macbr.",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","542",,"05-542","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Flowers yellow.  growing in rock crevices.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
96,1.00,"NOCA",764.00,32412.00,83341.00,,"2005 North Cascades National Park Foray","Portulacaceae","Montia parviflora","Montia","parviflora","(Dougl. ex Hook.) T.J. Howell",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 4",".","Maria Gerace","05-","543",,"05-543","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Growing in rock crevices.  Flowers white.  Leaves succulent.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
97,2.00,"WTU",764.00,32413.00,83341.00,,"2005 North Cascades National Park Foray","Portulacaceae","Montia parviflora","Montia","parviflora","(Dougl. ex Hook.) T.J. Howell",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 4",".","Maria Gerace","05-","543",,"05-543","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Growing in rock crevices.  Flowers white.  Leaves succulent.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
98,1.00,"NOCA",764.00,32414.00,83343.00,,"2005 North Cascades National Park Foray","Pteridaceae","Cryptogramma acrostichoides","Cryptogramma","acrostichoides","R. Br. in Franklin",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 2",,"Maria Gerace","05-","544",,"05-544","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Dimorphic leaves.  Growing in rock crevices.  Occasional.",,"Native","Fertile",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
99,2.00,"WTU",764.00,32415.00,83343.00,,"2005 North Cascades National Park Foray","Pteridaceae","Cryptogramma acrostichoides","Cryptogramma","acrostichoides","R. Br. in Franklin",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 2",,"Maria Gerace","05-","544",,"05-544","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Dimorphic leaves.  Growing in rock crevices.  Occasional.",,"Native","Fertile",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
100,1.00,"NOCA",764.00,32416.00,83346.00,,"2005 North Cascades National Park Foray","Crassulaceae","Sedum divergens","Sedum","divergens","Wats.",,,,,,,,1.00,"P. F. Zika",,,2005.00,"H&C",,"Maria Gerace","05-","555",,"05-555","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Basal leaves spherical, cauline leaves oval-rotund.  Leaves succulent.  Flowers yellow.  Growing in rock crevices, scattered.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
101,2.00,"WTU",764.00,32417.00,83346.00,,"2005 North Cascades National Park Foray","Crassulaceae","Sedum divergens","Sedum","divergens","Wats.",,,,,,,,1.00,"P. F. Zika",,,2005.00,"H&C",,"Maria Gerace","05-","555",,"05-555","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Basal leaves spherical, cauline leaves oval-rotund.  Leaves succulent.  Flowers yellow.  Growing in rock crevices, scattered.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
102,1.00,"NOCA",764.00,32418.00,83355.00,,"2005 North Cascades National Park Foray","Dryopteridaceae","Woodsia scopulina","Woodsia","scopulina","D.C. Eat.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 2",,"Maria Gerace","05-","556",,"05-556","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Fern common in rock crevices.",,"Native","Fertile",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
103,2.00,"WTU",764.00,32419.00,83355.00,,"2005 North Cascades National Park Foray","Dryopteridaceae","Woodsia scopulina","Woodsia","scopulina","D.C. Eat.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 2",,"Maria Gerace","05-","556",,"05-556","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Fern common in rock crevices.",,"Native","Fertile",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
104,3.00,"UBC",764.00,32420.00,83355.00,,"2005 North Cascades National Park Foray","Dryopteridaceae","Woodsia scopulina","Woodsia","scopulina","D.C. Eat.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 2",,"Maria Gerace","05-","556",,"05-556","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Fern common in rock crevices.",,"Native","Fertile",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
105,1.00,"NOCA",764.00,32421.00,83357.00,,"2005 North Cascades National Park Foray","Saxifragaceae","Saxifraga ferruginea","Saxifraga","ferruginea","Grah.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","557",,"05-557","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Petals white, Flowers bilaterally symmetrical.  Plants growing at base of rock outcrop.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
106,2.00,"WTU",764.00,32422.00,83357.00,,"2005 North Cascades National Park Foray","Saxifragaceae","Saxifraga ferruginea","Saxifraga","ferruginea","Grah.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","557",,"05-557","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Petals white, Flowers bilaterally symmetrical.  Plants growing at base of rock outcrop.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
107,1.00,"NOCA",764.00,32423.00,83376.00,,"2005 North Cascades National Park Foray","Poaceae","Poa scabrella","Poa","scabrella","(Thurb.) Benth.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","558",,"05-558","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Growing in crevices of rock outcrop.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
108,2.00,"WTU",764.00,32424.00,83376.00,,"2005 North Cascades National Park Foray","Poaceae","Poa scabrella","Poa","scabrella","(Thurb.) Benth.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","558",,"05-558","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Growing in crevices of rock outcrop.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
109,3.00,"UBC",764.00,32425.00,83376.00,,"2005 North Cascades National Park Foray","Poaceae","Poa scabrella","Poa","scabrella","(Thurb.) Benth.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","558",,"05-558","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Growing in crevices of rock outcrop.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
110,4.00,"To be determined",764.00,32426.00,83376.00,,"2005 North Cascades National Park Foray","Poaceae","Poa scabrella","Poa","scabrella","(Thurb.) Benth.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","558",,"05-558","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing slope and rock outcrop (granite?).","Growing in crevices of rock outcrop.",,"Native","Flowering",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
111,1.00,"NOCA",764.00,32427.00,83377.00,,"2005 North Cascades National Park Foray","Salicaceae","Salix commutata","Salix","commutata","Bebb",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","559",,"05-559","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing drainage below talus field.  Lush meadow and Salix on slope.","Male and female plants in abundance.  Shrubs to about 2 meters tall.  Abundant to dominant in drainage.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
112,2.00,"WTU",764.00,32428.00,83377.00,,"2005 North Cascades National Park Foray","Salicaceae","Salix commutata","Salix","commutata","Bebb",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","559",,"05-559","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing drainage below talus field.  Lush meadow and Salix on slope.","Male and female plants in abundance.  Shrubs to about 2 meters tall.  Abundant to dominant in drainage.",,"Native","Flowering & Fruiting",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
113,1.00,"NOCA",764.00,32429.00,83378.00,,"2005 North Cascades National Park Foray","Dryopteridaceae","Athyrium alpestre var. americanum","Athyrium","alpestre","Butters","var.","americanum",,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"FNA vol. 2",,"Maria Gerace","05-","560",,"05-560","Sarah Gage, Emily Sloane",24.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park Complex. Lake Chelan/Sawtooth National Recreation Area.  Southwest slope of Reynolds Peak.  About 5 airmiles northeast of Stehekin.",6722.00,,2049.00,,48.00,22.30,0.00,"N",120.00,34.76,0.00,"W","WGS 84",10.00,"GPS reading",10.00,679263.56,5360451.45,"WGS 84",10.00,"Calc. from Lat-Long","33N","18E","11","SE 1/4 of NW 1/4","Southwest facing drainage below talus field.  Lush meadow and Salix on slope.","Abundant among boulders.",,"Native","Fertile",,"{4029EA54-0DFE-486B-AD33-E5CF7AD8D867}",679263.55,5360451.44,"NAD83","OK","Natalya Antonova"
