"ID","Replicate Number","Herbarium Destination","NOCA Acc .","NOCA Catalog .","Label title","Family","Full Scientific Name","Genus","species","Author","Subtaxon rank","Subtaxon","Subtaxon author","Subtaxon2 rank","Subtaxon2 author","Determination Notes","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination_Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper elevation range (ft)","Elevation (meters)","Upper elevation range (meters)","Degrees Lat","Minutes Lat","Seconds Lat","Degrees Long","Minutes Long","Seconds Long","Datum","Accuracy (meters)","Source","UTM Zone","Easting","Northing","Datum_UTM","Accuracy (m)","Source_UTM","Site Description","Specimen Details","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
211,1.00,"NOCA","NOCA-00832","NOCA 32236","2006 North Cascades National Park Foray","Ranunculaceae","Caltha leptosepala s. lat.","Caltha","leptosepala","DC.",,,,,,"s. lat.","Ben Legler",25.00,"Oct",2006.00,"FNA vol. 3",,"Myria Rodeman","06-",30.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Frequent in wet mossy soil by seeps.","Native","Fruiting",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
212,2.00,"WTU","NOCA-00832","NOCA 32237","2006 North Cascades National Park Foray","Ranunculaceae","Caltha leptosepala s. lat.","Caltha","leptosepala","DC.",,,,,,"s. lat.","Ben Legler",25.00,"Oct",2006.00,"FNA vol. 3",,"Myria Rodeman","06-",30.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Frequent in wet mossy soil by seeps.","Native","Fruiting",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
213,3.00,"UBC","NOCA-00832","NOCA 32238","2006 North Cascades National Park Foray","Ranunculaceae","Caltha leptosepala s. lat.","Caltha","leptosepala","DC.",,,,,,"s. lat.","Ben Legler",25.00,"Oct",2006.00,"FNA vol. 3",,"Myria Rodeman","06-",30.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Frequent in wet mossy soil by seeps.","Native","Fruiting",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
214,1.00,"NOCA","NOCA-00832","NOCA 31102","2006 North Cascades National Park Foray","Brassicaceae","Capsella bursa-pastoris","Capsella","bursa-pastoris","(L.)",,,,,,,"Ben Legler",31.00,"Aug",2006.00,"Flora of PNW",,"Dale Blum","06-",31.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Uncommon in disturbed soil along edge.","Introduced","Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
215,2.00,"Stehekin","NOCA-00832","NOCA 31103","2006 North Cascades National Park Foray","Brassicaceae","Capsella bursa-pastoris","Capsella","bursa-pastoris","(L.)",,,,,,,"Ben Legler",31.00,"Aug",2006.00,"Flora of PNW",,"Dale Blum","06-",31.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Uncommon in disturbed soil along edge.","Introduced","Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
216,3.00,"WTU","NOCA-00832","NOCA 31104","2006 North Cascades National Park Foray","Brassicaceae","Capsella bursa-pastoris","Capsella","bursa-pastoris","(L.)",,,,,,,"Ben Legler",31.00,"Aug",2006.00,"Flora of PNW",,"Dale Blum","06-",31.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Uncommon in disturbed soil along edge.","Introduced","Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
217,1.00,"NOCA","NOCA-00832","NOCA 31713","2006 North Cascades National Park Foray","Cyperaceae","Carex aquatilis var. aquatilis","Carex","aquatilis","Wahl.","var.","aquatilis",,,,,"Ben Legler",18.00,"Sep",2006.00,"FNA",,"Barbara Smith","06-",14.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. On northwest shore of Coon Lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,19.70,120.00,50.00,11.90,"WGS 84",7.00,"GPS reading",10.00,660161.00,5361775.00,"WGS 84",7.00,"GPS reading","Narrow marshy lakeshore dominated by Spiraea douglasii and Carex spp. Shallow muddy lake, backed by rocky outcrops and dry conifer forest.","Densely tufted on floating log. Uncommon.","Native","Fruiting",,"{E38B1EDE-A40F-4E55-9842-31470A0EE888}",660160.99,5361774.99,"NAD83","OK","Natalya Antonova"
218,2.00,"Stehekin","NOCA-00832","NOCA 31714","2006 North Cascades National Park Foray","Cyperaceae","Carex aquatilis var. aquatilis","Carex","aquatilis","Wahl.","var.","aquatilis",,,,,"Ben Legler",18.00,"Sep",2006.00,"FNA",,"Barbara Smith","06-",14.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. On northwest shore of Coon Lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,19.70,120.00,50.00,11.90,"WGS 84",7.00,"GPS reading",10.00,660161.00,5361775.00,"WGS 84",7.00,"GPS reading","Narrow marshy lakeshore dominated by Spiraea douglasii and Carex spp. Shallow muddy lake, backed by rocky outcrops and dry conifer forest.","Densely tufted on floating log. Uncommon.","Native","Fruiting",,"{E38B1EDE-A40F-4E55-9842-31470A0EE888}",660160.99,5361774.99,"NAD83","OK","Natalya Antonova"
219,3.00,"WTU","NOCA-00832","NOCA 31715","2006 North Cascades National Park Foray","Cyperaceae","Carex aquatilis var. aquatilis","Carex","aquatilis","Wahl.","var.","aquatilis",,,,,"Ben Legler",18.00,"Sep",2006.00,"FNA",,"Barbara Smith","06-",14.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. On northwest shore of Coon Lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,19.70,120.00,50.00,11.90,"WGS 84",7.00,"GPS reading",10.00,660161.00,5361775.00,"WGS 84",7.00,"GPS reading","Narrow marshy lakeshore dominated by Spiraea douglasii and Carex spp. Shallow muddy lake, backed by rocky outcrops and dry conifer forest.","Densely tufted on floating log. Uncommon.","Native","Fruiting",,"{E38B1EDE-A40F-4E55-9842-31470A0EE888}",660160.99,5361774.99,"NAD83","OK","Natalya Antonova"
220,1.00,"NOCA","NOCA-00832","NOCA 31426","2006 North Cascades National Park Foray","Cyperaceae","Carex arcta","Carex","arcta","Boott",,,,,,,"Ben Legler",19.00,"Sep",2006.00,"FNA Vol. 23",,"Steve Hahn","06-",207.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. East side of Coon Lake on north side of lake outlet. One kilometer northeast of High Bridge. Stehekin River Valley.",2170.00,,661.00,,48.00,23.00,16.70,120.00,49.00,43.50,"WGS 84",8.00,"GPS Reading",10.00,660742.87,5361700.85,"WGS 84",8.00,"Calc. from Lat-Lon","Shady mature Thuja plicata flat. Moist springy duff. Understory dominated by Athyrium filix-femina.","In dense clumps in shallows of edge of lake outlet.","Native","Flowering & Fruiting",,"{7CD2E245-A6EA-4F5B-9607-458E0653E34D}",660742.87,5361700.85,"NAD83","OK","Natalya Antonova"
221,2.00,"Stehekin","NOCA-00832","NOCA 31427","2006 North Cascades National Park Foray","Cyperaceae","Carex arcta","Carex","arcta","Boott",,,,,,,"Ben Legler",19.00,"Sep",2006.00,"FNA Vol. 23",,"Steve Hahn","06-",207.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. East side of Coon Lake on north side of lake outlet. One kilometer northeast of High Bridge. Stehekin River Valley.",2170.00,,661.00,,48.00,23.00,16.70,120.00,49.00,43.50,"WGS 84",8.00,"GPS Reading",10.00,660742.87,5361700.85,"WGS 84",8.00,"Calc. from Lat-Lon","Shady mature Thuja plicata flat. Moist springy duff. Understory dominated by Athyrium filix-femina.","In dense clumps in shallows of edge of lake outlet.","Native","Flowering & Fruiting",,"{7CD2E245-A6EA-4F5B-9607-458E0653E34D}",660742.87,5361700.85,"NAD83","OK","Natalya Antonova"
222,3.00,"WTU","NOCA-00832","NOCA 31428","2006 North Cascades National Park Foray","Cyperaceae","Carex arcta","Carex","arcta","Boott",,,,,,,"Ben Legler",19.00,"Sep",2006.00,"FNA Vol. 23",,"Steve Hahn","06-",207.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. East side of Coon Lake on north side of lake outlet. One kilometer northeast of High Bridge. Stehekin River Valley.",2170.00,,661.00,,48.00,23.00,16.70,120.00,49.00,43.50,"WGS 84",8.00,"GPS Reading",10.00,660742.87,5361700.85,"WGS 84",8.00,"Calc. from Lat-Lon","Shady mature Thuja plicata flat. Moist springy duff. Understory dominated by Athyrium filix-femina.","In dense clumps in shallows of edge of lake outlet.","Native","Flowering & Fruiting",,"{7CD2E245-A6EA-4F5B-9607-458E0653E34D}",660742.87,5361700.85,"NAD83","OK","Natalya Antonova"
223,1.00,"NOCA","NOCA-00832","NOCA 31725","2006 North Cascades National Park Foray","Cyperaceae","Carex canescens ssp. canescens","Carex","canescens","L.","ssp.","canescens",,,,,"Ben Legler",18.00,"Sep",2006.00,"FNA Vol. 23",,"Barbara Smith","06-",18.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. On northwest shore of Coon Lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,19.70,120.00,50.00,11.90,"WGS 84",7.00,"GPS reading",10.00,660161.00,5361775.00,"WGS 84",7.00,"GPS reading","Narrow marshy lakeshore dominated by Spiraea douglasii and Carex spp. Shallow muddy lake, backed by rocky outcrops and dry conifer forest.","Tufted in floating bog mat and on floating logs.","Native","Fruiting",,"{E38B1EDE-A40F-4E55-9842-31470A0EE888}",660160.99,5361774.99,"NAD83","OK","Natalya Antonova"
224,2.00,"Stehekin","NOCA-00832","NOCA 31726","2006 North Cascades National Park Foray","Cyperaceae","Carex canescens ssp. canescens","Carex","canescens","L.","ssp.","canescens",,,,,"Ben Legler",18.00,"Sep",2006.00,"FNA Vol. 23",,"Barbara Smith","06-",18.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. On northwest shore of Coon Lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,19.70,120.00,50.00,11.90,"WGS 84",7.00,"GPS reading",10.00,660161.00,5361775.00,"WGS 84",7.00,"GPS reading","Narrow marshy lakeshore dominated by Spiraea douglasii and Carex spp. Shallow muddy lake, backed by rocky outcrops and dry conifer forest.","Tufted in floating bog mat and on floating logs.","Native","Fruiting",,"{E38B1EDE-A40F-4E55-9842-31470A0EE888}",660160.99,5361774.99,"NAD83","OK","Natalya Antonova"
225,3.00,"WTU","NOCA-00832","NOCA 31727","2006 North Cascades National Park Foray","Cyperaceae","Carex canescens ssp. canescens","Carex","canescens","L.","ssp.","canescens",,,,,"Ben Legler",18.00,"Sep",2006.00,"FNA Vol. 23",,"Barbara Smith","06-",18.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. On northwest shore of Coon Lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,19.70,120.00,50.00,11.90,"WGS 84",7.00,"GPS reading",10.00,660161.00,5361775.00,"WGS 84",7.00,"GPS reading","Narrow marshy lakeshore dominated by Spiraea douglasii and Carex spp. Shallow muddy lake, backed by rocky outcrops and dry conifer forest.","Tufted in floating bog mat and on floating logs.","Native","Fruiting",,"{E38B1EDE-A40F-4E55-9842-31470A0EE888}",660160.99,5361774.99,"NAD83","OK","Natalya Antonova"
226,1.00,"NOCA","NOCA-00832","NOCA 31900","2006 North Cascades National Park Foray","Cyperaceae","Carex canescens ssp. canescens","Carex","canescens","L.","ssp.","canescens",,,,,"Ben Legler",19.00,"Oct",2006.00,"FNA vol. 23",,"Charlie Baughman","06-",17.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Dagger Lake circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Shallow lake surrounded by wet subalpine meadows, dominated by Carex species, Eriophorum, scattered Abies lasiocarpa, Picea engelmannii.","Tufted in mesic areas; common.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
227,2.00,"WTU","NOCA-00832","NOCA 31901","2006 North Cascades National Park Foray","Cyperaceae","Carex canescens ssp. canescens","Carex","canescens","L.","ssp.","canescens",,,,,"Ben Legler",19.00,"Oct",2006.00,"FNA vol. 23",,"Charlie Baughman","06-",17.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Dagger Lake circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Shallow lake surrounded by wet subalpine meadows, dominated by Carex species, Eriophorum, scattered Abies lasiocarpa, Picea engelmannii.","Tufted in mesic areas; common.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
228,3.00,"UBC","NOCA-00832","NOCA 31902","2006 North Cascades National Park Foray","Cyperaceae","Carex canescens ssp. canescens","Carex","canescens","L.","ssp.","canescens",,,,,"Ben Legler",19.00,"Oct",2006.00,"FNA vol. 23",,"Charlie Baughman","06-",17.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Dagger Lake circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Shallow lake surrounded by wet subalpine meadows, dominated by Carex species, Eriophorum, scattered Abies lasiocarpa, Picea engelmannii.","Tufted in mesic areas; common.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
229,1.00,"NOCA","NOCA-00832","NOCA 31182","2006 North Cascades National Park Foray","Cyperaceae","Carex hoodii","Carex","hoodii","Boott",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"FNA",,"Diane Doss","06-",7.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. ","6 to 12 inch diameter clumps.","Native","Flowering & Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
230,2.00,"Stehekin","NOCA-00832","NOCA 31183","2006 North Cascades National Park Foray","Cyperaceae","Carex hoodii","Carex","hoodii","Boott",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"FNA",,"Diane Doss","06-",7.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. ","6 to 12 inch diameter clumps.","Native","Flowering & Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
231,3.00,"WTU","NOCA-00832","NOCA 31184","2006 North Cascades National Park Foray","Cyperaceae","Carex hoodii","Carex","hoodii","Boott",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"FNA",,"Diane Doss","06-",7.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. ","6 to 12 inch diameter clumps.","Native","Flowering & Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
232,1.00,"NOCA","NOCA-00832","NOCA 31394","2006 North Cascades National Park Foray","Cyperaceae","Carex hoodii","Carex","hoodii","Boott",,,,,,,"Ben Legler",28.00,"Sep",2006.00,"FNA Vol. 23",,"Vicky Gempko","06-",31.00,,"Dale Blum, Cheryl Lowe, Anders Huseth",29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. McGregor Mountain Trail. Trailside edge.",4316.00,,1316.00,,48.00,23.98,,120.00,49.32,,"WGS 84",5.00,"GPS Reading",10.00,661202.66,5363031.41,"WGS 84",5.00,"Calc. from Lat-Lon","Open rocky, south facing slope dominated by Lewisia columbiana, Zigadenus venosus.","Full sun. Dry soil.","Native","Flowering & Fruiting",,"{23575F2C-505F-4B9A-BA86-7FB995288956}",661202.66,5363031.41,"NAD83","OK","Natalya Antonova"
233,2.00,"Stehekin","NOCA-00832","NOCA 31395","2006 North Cascades National Park Foray","Cyperaceae","Carex hoodii","Carex","hoodii","Boott",,,,,,,"Ben Legler",28.00,"Sep",2006.00,"FNA Vol. 23",,"Vicky Gempko","06-",31.00,,"Dale Blum, Cheryl Lowe, Anders Huseth",29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. McGregor Mountain Trail. Trailside edge.",4316.00,,1316.00,,48.00,23.98,,120.00,49.32,,"WGS 84",5.00,"GPS Reading",10.00,661202.66,5363031.41,"WGS 84",5.00,"Calc. from Lat-Lon","Open rocky, south facing slope dominated by Lewisia columbiana, Zigadenus venosus.","Full sun. Dry soil.","Native","Flowering & Fruiting",,"{23575F2C-505F-4B9A-BA86-7FB995288956}",661202.66,5363031.41,"NAD83","OK","Natalya Antonova"
234,3.00,"WTU","NOCA-00832","NOCA 31396","2006 North Cascades National Park Foray","Cyperaceae","Carex hoodii","Carex","hoodii","Boott",,,,,,,"Ben Legler",28.00,"Sep",2006.00,"FNA Vol. 23",,"Vicky Gempko","06-",31.00,,"Dale Blum, Cheryl Lowe, Anders Huseth",29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. McGregor Mountain Trail. Trailside edge.",4316.00,,1316.00,,48.00,23.98,,120.00,49.32,,"WGS 84",5.00,"GPS Reading",10.00,661202.66,5363031.41,"WGS 84",5.00,"Calc. from Lat-Lon","Open rocky, south facing slope dominated by Lewisia columbiana, Zigadenus venosus.","Full sun. Dry soil.","Native","Flowering & Fruiting",,"{23575F2C-505F-4B9A-BA86-7FB995288956}",661202.66,5363031.41,"NAD83","OK","Natalya Antonova"
235,1.00,"NOCA","NOCA-00832","NOCA 32305","2006 North Cascades National Park Foray","Cyperaceae","Carex illota","Carex","illota","Bailey",,,,,,,"Ben Legler",26.00,"Oct",2006.00,"FNA vol. 23",,"Nathan Walker","06-",21.00,,,28.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North shore of Dagger Lake, circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Wet subalpine meadows, mostly flat with Eriophorum, Carex species, Viola palustris, scattered Abies lasiocarpa, Picea engelmannii.","Common; stems in small tufts or solitary.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
236,2.00,"WTU","NOCA-00832","NOCA 32306","2006 North Cascades National Park Foray","Cyperaceae","Carex illota","Carex","illota","Bailey",,,,,,,"Ben Legler",26.00,"Oct",2006.00,"FNA vol. 23",,"Nathan Walker","06-",21.00,,,28.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North shore of Dagger Lake, circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Wet subalpine meadows, mostly flat with Eriophorum, Carex species, Viola palustris, scattered Abies lasiocarpa, Picea engelmannii.","Common; stems in small tufts or solitary.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
237,3.00,"UBC","NOCA-00832","NOCA 32307","2006 North Cascades National Park Foray","Cyperaceae","Carex illota","Carex","illota","Bailey",,,,,,,"Ben Legler",26.00,"Oct",2006.00,"FNA vol. 23",,"Nathan Walker","06-",21.00,,,28.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North shore of Dagger Lake, circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Wet subalpine meadows, mostly flat with Eriophorum, Carex species, Viola palustris, scattered Abies lasiocarpa, Picea engelmannii.","Common; stems in small tufts or solitary.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
238,1.00,"NOCA","NOCA-00832","NOCA 31859","2006 North Cascades National Park Foray","Cyperaceae","Carex jonesii","Carex","jonesii","Bailey",,,,,,,"Peter F. Zika",16.00,"Nov",2006.00,,,"Charlie Baughman","06-",2.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Dagger Lake circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Shallow lake surrounded by wet subalpine meadows, dominated by Carex species, Eriophorum, scattered Abies lasiocarpa, Picea engelmannii.","Short - rhizomatous, in loose tufts on rise in marsh; uncommon.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
239,2.00,"WTU","NOCA-00832","NOCA 31860","2006 North Cascades National Park Foray","Cyperaceae","Carex jonesii","Carex","jonesii","Bailey",,,,,,,"Peter F. Zika",16.00,"Nov",2006.00,,,"Charlie Baughman","06-",2.00,,,30.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Dagger Lake circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Shallow lake surrounded by wet subalpine meadows, dominated by Carex species, Eriophorum, scattered Abies lasiocarpa, Picea engelmannii.","Short - rhizomatous, in loose tufts on rise in marsh; uncommon.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
