Replicate#	Destination Herbarium	NPS Accession Number	NPS Catalog Number	WTU Database ID	WTU Accession Number	Family	Scientific Name	Genus	Species	Author	Subspecific Rank	Subspecific taxon	Subspecific Author	Determiner	Determination Day	Determination Month	Determination Year	Determination Source	Collector Name	Collector Number Prefix	Collector Number	Collector Number Suffix	Associated Collector	Collection Day	Collection Month	Collection Year	Country	State	County	Locality	Elevation (ft.)	Elevation (m)	Dec. Latitude	N or S	Decimal Long.	W or E	Lat-Long Datum	Accuracy (m)	UTM Zone	Easting	Northing	Datum	UTM Source	Site description	Specimen Details	Origin	Phenology	
2	WTU	MORA-523	17283	164187		Scrophulariaceae	Penstemon procerus var. tolmiei	Penstemon	procerus	Dougl.	var.	tolmiei	(Hook.) Cronq.	David Giblin	10	Sep	2007	Strickler	Megan A. Jensen		384		"Richard Ramsden, Dan Paquette, Judy Runge"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Near Fremont Lookout.	7191	2192	46.93221	N	-121.67455	W	NAD 83		10	600895	5198484	WGS 84	Conversion algorithm	Steep north facing talus slope and flat top of ridge. Dry loose soil.	Scattered in rocky outcroppings.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17284	164188		Caryophyllaceae	Minuartia obtusiloba	Minuartia	obtusiloba	(Rydb.) House				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		385		"Richard Ramsden, Dan Paquette, Judy Runge"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Near Fremont Lookout.	7191	2192	46.93221	N	-121.67455	W	NAD 83		10	600895	5198484	WGS 84	Conversion algorithm	Steep north facing talus slope and flat top of ridge. Dry loose soil.	Uncommon along ridgeline in dry exposed area.	Native	Fruiting	
1	MORA	MORA-523	17285	164219		Asteraceae	Arnica latifolia	Arnica	latifolia	Bong.				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	01		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common at meadow/talus interface.	Native	Flowering	
2	WTU	MORA-523	17286	164219		Asteraceae	Arnica latifolia	Arnica	latifolia	Bong.				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	01		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common at meadow/talus interface.	Native	Flowering	
3	UBC	MORA-523	17287	164219		Asteraceae	Arnica latifolia	Arnica	latifolia	Bong.				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	01		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common at meadow/talus interface.	Native	Flowering	
1	MORA	MORA-523	17288	164220		Scrophulariaceae	Veronica cusickii	Veronica	cusickii	Gray				David Giblin	10	Sep	2007	H&C	Richard Ramsden	07-	02		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered at base of talus.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17289	164220		Scrophulariaceae	Veronica cusickii	Veronica	cusickii	Gray				David Giblin	10	Sep	2007	H&C	Richard Ramsden	07-	02		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered at base of talus.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17290	164220		Scrophulariaceae	Veronica cusickii	Veronica	cusickii	Gray				David Giblin	10	Sep	2007	H&C	Richard Ramsden	07-	02		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered at base of talus.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17291	164221		Poaceae	Trisetum spicatum	Trisetum	spicatum	(L.) Richter				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	03		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common in meadow.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17292	164221		Poaceae	Trisetum spicatum	Trisetum	spicatum	(L.) Richter				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	03		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common in meadow.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17293	164221		Poaceae	Trisetum spicatum	Trisetum	spicatum	(L.) Richter				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	03		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common in meadow.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17294	164222		Ranunculaceae	Anemone occidentalis	Anemone	occidentalis	Wats.				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	05		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered in meadow.	Native	Fruiting	
2	WTU	MORA-523	17295	164222		Ranunculaceae	Anemone occidentalis	Anemone	occidentalis	Wats.				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	05		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered in meadow.	Native	Fruiting	
3	UBC	MORA-523	17296	164222		Ranunculaceae	Anemone occidentalis	Anemone	occidentalis	Wats.				David Giblin	10	Sep	2007	FNA	Richard Ramsden	07-	05		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered in meadow.	Native	Fruiting	
1	MORA	MORA-523	17297	164223		Poaceae	Vahlodea atropurpurea	Vahlodea	atropurpurea	(Wahlenb.) Fries ex Hartman				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	06		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common at talus meadow interface.	Native	Fertile	
2	WTU	MORA-523	17298	164223		Poaceae	Vahlodea atropurpurea	Vahlodea	atropurpurea	(Wahlenb.) Fries ex Hartman				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	06		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common at talus meadow interface.	Native	Fertile	
3	UBC	MORA-523	17299	164223		Poaceae	Vahlodea atropurpurea	Vahlodea	atropurpurea	(Wahlenb.) Fries ex Hartman				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	06		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common at talus meadow interface.	Native	Fertile	
1	MORA	MORA-523	17300	164224		Asteraceae	Antennaria lanata	Antennaria	lanata	(Hook.) Greene				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	07		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered in meadow; not forming mats.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17301	164224		Asteraceae	Antennaria lanata	Antennaria	lanata	(Hook.) Greene				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	07		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered in meadow; not forming mats.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17302	164224		Asteraceae	Antennaria lanata	Antennaria	lanata	(Hook.) Greene				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	07		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Scattered in meadow; not forming mats.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17303	164225		Asteraceae	Packera flettii	Packera	flettii	(Wieg.) W.A. Weber & A. L?ve				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	08		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	"Common in steep, loose talus; fibrous rooted."	Native	Flowering & Fruiting	
2	WTU	MORA-523	17304	164225		Asteraceae	Packera flettii	Packera	flettii	(Wieg.) W.A. Weber & A. L?ve				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	08		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	"Common in steep, loose talus; fibrous rooted."	Native	Flowering & Fruiting	
3	UBC	MORA-523	17305	164225		Asteraceae	Packera flettii	Packera	flettii	(Wieg.) W.A. Weber & A. L?ve				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	08		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	"Common in steep, loose talus; fibrous rooted."	Native	Flowering & Fruiting	
1	MORA	MORA-523	17306	164226		Crassulaceae	Sedum divergens	Sedum	divergens	Wats.				David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	09		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	"Common in steep, loose talus; leaves of inflorescence alternate."	Native	Flowering & Fruiting	
2	WTU	MORA-523	17307	164226		Crassulaceae	Sedum divergens	Sedum	divergens	Wats.				David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	09		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	"Common in steep, loose talus; leaves of inflorescence alternate."	Native	Flowering & Fruiting	
3	UBC	MORA-523	17308	164226		Crassulaceae	Sedum divergens	Sedum	divergens	Wats.				David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	09		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	"Common in steep, loose talus; leaves of inflorescence alternate."	Native	Flowering & Fruiting	
1	MORA	MORA-523	17309	164227		Saxifragaceae	Saxifraga oppositifolia	Saxifraga	oppositifolia	L.				David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	10		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cushion-plants. Scattered in rock face above talus.	Native	Fruiting	
2	WTU	MORA-523	17310	164227		Saxifragaceae	Saxifraga oppositifolia	Saxifraga	oppositifolia	L.				David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	10		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cushion-plants. Scattered in rock face above talus.	Native	Fruiting	
3	UBC	MORA-523	17311	164227		Saxifragaceae	Saxifraga oppositifolia	Saxifraga	oppositifolia	L.				David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	10		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cushion-plants. Scattered in rock face above talus.	Native	Fruiting	
1	MORA	MORA-523	17312	164228		Juncaceae	Luzula hitchcockii	Luzula	hitchcockii	Hamet-Ahti				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	11		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common in meadow.	Native	Fruiting	
2	WTU	MORA-523	17313	164228		Juncaceae	Luzula hitchcockii	Luzula	hitchcockii	Hamet-Ahti				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	11		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common in meadow.	Native	Fruiting	
1	MORA	MORA-523	17314	164229		Poaceae	Poa stenantha	Poa	stenantha	Trin.				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	12		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Uncommon in meadow.	Native	Fruiting	
2	WTU	MORA-523	17315	164229		Poaceae	Poa stenantha	Poa	stenantha	Trin.				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	12		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Uncommon in meadow.	Native	Fruiting	
1	MORA	MORA-523	17316	164230		Poaceae	Festuca roemeri	Festuca	roemeri	(Pavlick) Alexeev				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	13		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common in meadow.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17317	164230		Poaceae	Festuca roemeri	Festuca	roemeri	(Pavlick) Alexeev				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	13		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common in meadow.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17318	164230		Poaceae	Festuca roemeri	Festuca	roemeri	(Pavlick) Alexeev				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	13		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Cespitose. Common in meadow.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17319	164231		Cyperaceae	Carex spectabilis	Carex	spectabilis	Dewey				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	14		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common in meadow.	Native	Flowering	
2	WTU	MORA-523	17320	164231		Cyperaceae	Carex spectabilis	Carex	spectabilis	Dewey				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	14		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common in meadow.	Native	Flowering	
3	UBC	MORA-523	17321	164231		Cyperaceae	Carex spectabilis	Carex	spectabilis	Dewey				David Giblin	16	Sep	2007	FNA	Richard Ramsden	07-	14		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Common in meadow.	Native	Flowering	
1	MORA	MORA-523	17322	164232		Saxifragaceae	Saxifraga caespitosa var. emarginata	Saxifraga	caespitosa	L.	var.	emarginata	(Small) Rosend	David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	15		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Forming loose cushions in rocky soil.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17323	164232		Saxifragaceae	Saxifraga caespitosa var. emarginata	Saxifraga	caespitosa	L.	var.	emarginata	(Small) Rosend	David Giblin	16	Sep	2007	H&C	Richard Ramsden	07-	15		"Dan Paquette, David Giblin, Megan A. Jensen, Vicky Weafer"	13	Aug	2007	USA	Washington	Pierce	"Mount Rainier National Park. Crystal Lakes area, just inside Park boundary, about 0.75 kilometer west from junction with Pacific Crest Trail."	6271	1912	46.90381	N	-121.50206	W	WGS 84	8	10	614085	5195564	WGS 84	Conversion algorithm	"Southwest facing subalpine meadow dominated by Lupinus latifolius, and adjacent steep talus slope and rock cliffs."	Forming loose cushions in rocky soil.	Native	Flowering & Fruiting	
