"Cat .","Acc .","Family","Scientific Name","Common Name","Collector","Collect .","Coll Date","National Park Service","Ident By","Ident Date","Locality","Park Name","County","State","UTM Z/E/N","Elevation M","Habitat","Slope","Aspect","Substrate","Assoc Spec","Park Code","UTM_Y","UTM_X","Last_Edited","Who_Edited","Comment","ITIS_Name"
"SAJH  230106","SAJH-00081","Cyperaceae","Carex inops Bailey ssp. inops","long-stolon sedge","Steve Hahn","130",6/13/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"English Camp:  South side of Young Hill","San Juan Island National Historical Park","SAN JUAN","WA","10/489830/5381150",101,"Dry- open slope- dominated by non-native grass-- interspersed by large homogenous patches of carex",28,198,"mineral soil","Psuedotsuga menziesii/Arrhenatherum elatius","SAJH",5381150,489830,,"",,"Carex inops ssp. inops"
"SAJH  230107","SAJH-00081","Cyperaceae","Carex inops Bailey ssp. inops","long-stolon sedge","Steve Hahn","436",6/13/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"English Camp:  South side of Young Hill","San Juan Island National Historical Park","SAN JUAN","WA","10/489830/5381150",101,"Dry- open slope- dominated by non-native grass-- interspersed by large homogenous patches of carex",28,198,"mineral soil","Psuedotsuga menziesii/Arrhenatherum elatius","SAJH",5381150,489830,,"",,"Carex inops ssp. inops"
"SAJH  230108","SAJH-00081","Cyperaceae","Carex macrocephala Willd.","largehead sedge","Teresa DeKoker","142",7/18/2001 0:00:00,,"Steve Hahn",7/18/2001 0:00:00,"American Camp: South Beach parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499443/5367060",2,"Sparsely vegetated sand flats adjacent to the beach",1,200,"sand","Lathyrus japonicus/Abronia latifolia","SAJH",5367060,499443,,"",,"Carex macrocephala"
"SAJH  230109","SAJH-00081","Cyperaceae","Carex macrocephala Willd.","largehead sedge","Teresa DeKoker","90",6/25/2001 0:00:00,,"Teresa DeKoker",6/25/2001 0:00:00,"American Camp: South Beach-- north end of parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499443/5367060",3,"Large gravel on upper beach-- well above the high tide line",1,186,"mineral soil","Holcus lanatus/Hypochaeris radicata","SAJH",5367060,499443,,"",,"Carex macrocephala"
"SAJH  230110","SAJH-00081","Cyperaceae","Carex obnupta Bailey","slough sedge","Teresa DeKoker","101",6/25/2001 0:00:00,,"Teresa DeKoker",6/26/2001 0:00:00,"American Camp: 4th of July Beach parking lot area","San Juan Island National Historical Park","SAN JUAN","WA","10/499670/5368330",8,"Wetland edge-- partial sun",6,100,"mud/mineral soil","Holcus lanatus/Stachys cooleyae/Juncus sp.","SAJH",5368330,499670,,"",,"Carex obnupta"
"SAJH  230111","SAJH-00081","Cyperaceae","Carex pachystachya Cham.","thickhead sedge","Teresa DeKoker","99",6/25/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  4th of July Beach parking area","San Juan Island National Historical Park","SAN JUAN","WA","10/499652/5368308",8,"Wetland adjacent to parking area-- full sun",6,100,"mineral soil","Juncus sp./Holcus lanatus/Stachys cooleyae","SAJH",5368308,499652,,"",,"Carex pachystachya"
"SAJH  230112","SAJH-00081","Cyperaceae","Carex pachystachya Cham.","thickhead sedge","Teresa DeKoker","176",6/25/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  4th of July Beach parking area","San Juan Island National Historical Park","SAN JUAN","WA","10/499652/5368308",8,"Wetland adjacent to parking area-- full sun",6,100,"mineral soil","Juncus sp./Holcus lanatus/Stachys cooleyae","SAJH",5368308,499652,,"",,"Carex pachystachya"
"SAJH  230113","SAJH-00081","Cyperaceae","Carex pachystachya Cham.","thickhead sedge","Steve Hahn","118",6/8/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:","San Juan Island National Historical Park","SAN JUAN","WA",,15,"Prairie dominated by non-native grasses-- with patches of carex scattered throughout-- occurs on top of bluff above the ocean",8,180,"mineral soil","Holcus lanatus/Circium arvense/Pteridium aqualinum/Hypochaeris radicata","SAJH",,,,,,"Carex pachystachya"
"SAJH  230114","SAJH-00081","Cyperaceae","Carex pachystachya Cham.","thickhead sedge","Steve Hahn","432",6/8/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:","San Juan Island National Historical Park","SAN JUAN","WA",,15,"Prairie dominated by non-native grasses-- with patches of carex scattered throughout-- occurs on top of bluff above the ocean",8,180,"mineral soil","Holcus lanatus/Circium arvense/Pteridium aqualinum/Hypochaeris radicata","SAJH",,,,,,"Carex pachystachya"
"SAJH  230115","SAJH-00081","Cyperaceae","Carex pachystachya Cham.","thickhead sedge","Steve Hahn","178",6/26/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  next to the 4th of July Beach sign travelling west on American Camp road","San Juan Island National Historical Park","SAN JUAN","WA","10/499570/5368300",12,"Meadow dominated by non-native grasses-- full sunlight",8,65,"mineral soil","Holcus lanatus/Sambucus racemosa/Urtica dioica","SAJH",5368300,499570,,"",,"Carex pachystachya"
"SAJH  230116","SAJH-00081","Cyperaceae","Carex pachystachya Cham.","thickhead sedge","Steve Hahn","433",6/26/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  next to the 4th of July Beach sign travelling west on American Camp road","San Juan Island National Historical Park","SAN JUAN","WA","10/499570/5368300",12,"Meadow dominated by non-native grasses-- full sunlight",8,65,"mineral soil","Holcus lanatus/Sambucus racemosa/Urtica dioica","SAJH",5368300,499570,,"",,"Carex pachystachya"
"SAJH  230117","SAJH-00081","Cyperaceae","Carex rossii (Boott.)","Ross's sedge","Steve Hahn","123",6/13/2001 0:00:00,,"Steve Hahn",6/13/2001 0:00:00,"English Camp:  along the trail to Young Hill-- 100m past cemetary","San Juan Island National Historical Park","SAN JUAN","WA","10/489650/5381250",107,"Closed canopy coniferous forest",4,247,"mineral soil","Holodiscus discolor/Pseudotsuga menziesii","SAJH",5381250,489650,,"",,"Carex rossii"
"SAJH  230118","SAJH-00081","Cyperaceae","Carex tumulicola Mack.","foothill sedge","Steve Hahn","269",8/2/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  Prairie plot MG13","San Juan Island National Historical Park","SAN JUAN","WA","10/498135/5367731",15,"Open prairie-- dominated by adventive grasses",6,220,"mineral soil","Elytregia repens/Circium arvense/Holcus lanatus","SAJH",5367731,498135,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Carex tumulicola"
"SAJH  230119","SAJH-00081","Cyperaceae","Carex tumulicola Mack.","foothill sedge","Steve Hahn","256",8/2/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  Old Town Lagoon meadow-- Prairie plot #9 SLM","San Juan Island National Historical Park","SAN JUAN","WA","10/499700/5368100",11,"Open meadow-- dominated by adventive grasses",8,11,"mineral soil","Elytregia repens/Poa pratensis","SAJH",5368100,499700,,"",,"Carex tumulicola"
"SAJH  230120","SAJH-00081","Cyperaceae","Carex tumulicola Mack.","foothill sedge","Teresa DeKoker","128",7/10/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  western boundary above Eagle Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/497892/5367665",40,"Prairie dominated by exotics",1,200,"mineral soil","Rubus ursinus/Holcus lanatus/Agrostis sp.","SAJH",5367665,497892,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Carex tumulicola"
"SAJH  230121","SAJH-00081","Cyperaceae","Carex tumulicola Mack.","foothill sedge","Teresa DeKoker","177",7/10/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  western boundary above Eagle Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/497892/5367665",40,"Prairie dominated by exotics",1,200,"mineral soil","Rubus ursinus/Holcus lanatus/Agrostis sp.","SAJH",5367665,497892,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Carex tumulicola"
"SAJH  230122","SAJH-00081","Cyperaceae","Carex tumulicola Mack.","foothill sedge","Steve Hahn","109",6/6/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  below the Hudson Bay Company flag pole","San Juan Island National Historical Park","SAN JUAN","WA","10/498330/5367387",34,"Prairie dominated by adventive grasses-- carex forming thick rhizomatous mats below grasses",3,225,"mineral soil","Festuca sp./Dactylis glomerata/Symphoricarpos albus","SAJH",5367387,498330,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Carex tumulicola"
"SAJH  230123","SAJH-00081","Cyperaceae","Carex tumulicola Mack.","foothill sedge","Steve Hahn","434",6/6/2001 0:00:00,,"Fred Weinman",11/5/2001 0:00:00,"American Camp:  below the Hudson Bay Company flag pole","San Juan Island National Historical Park","SAN JUAN","WA","10/498330/5367387",34,"Prairie dominated by adventive grasses-- carex forming thick rhizomatous mats below grasses",3,225,"mineral soil","Festuca sp./Dactylis glomerata/Symphoricarpos albus","SAJH",5367387,498330,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Carex tumulicola"
"SAJH  230124","SAJH-00081","Scrophulariaceae","Castilleja hispida Benth.","harsh Indian paintbrush","Teresa DeKoker","50",6/15/2001 0:00:00,,"Teresa DeKoker",6/15/2001 0:00:00,"English Camp:  Bell Point trail","San Juan Island National Historical Park","SAN JUAN","WA","10/488456/5381791",6,"Open coniferous forest-- partial sun",15,230,"mineral soil","Shepherdia canadensis/Gaultheria shallon","SAJH",5381791,488456,,"",,"Castilleja hispida"
"SAJH  230125","SAJH-00081","Gentianaceae","Centaurium erythraea Rafn.","common centaury","Steve Hahn","169",6/25/2001 0:00:00,,"Steve Hahn",6/24/2001 0:00:00,"American Camp:  on top of a small rocky bluff-- two coves west of the South Beach parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499180/5367080",8,"Coastal meadow dominated by non-native grasses and forbes-- grasses thinner than the majority of the prairie-- full sun",15,148,"mineral soil","Festuca rubra/Hypochaeris radicata/Sisyrinchium sp./Holcus lanatus","SAJH",5367080,499180,,"",,"Centaurium erythraea"
"SAJH  230126","SAJH-00081","Gentianaceae","Centaurium erythraea Rafn.","common centaury","Steve Hahn","344",6/25/2001 0:00:00,,"Steve Hahn",6/24/2001 0:00:00,"American Camp:  on top of a small rocky bluff-- two coves west of the South Beach parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499180/5367080",8,"Coastal meadow dominated by non-native grasses and forbes-- grasses thinner than the majority of the prairie-- full sun",15,148,"mineral soil","Festuca rubra/Hypochaeris radicata/Sisyrinchium sp./Holcus lanatus","SAJH",5367080,499180,,"",,"Centaurium erythraea"
"SAJH  230127","SAJH-00081","Caryophyllaceae","Cerastium arvense L.","field chickweed","Steve Hahn","4",5/23/2001 0:00:00,,"Steve Hahn",5/23/2001 0:00:00,"American Camp:  meadow below the Jakle's Lagoon parking lot-- near Old Town Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500074/5367858",18,"Lush prairie dominated by non-native grasses",12,301,"deep soil","Vicia americana/Pteridium aquilinum/Lomatium nudicaulis/Poa pratensis","SAJH",5367858,500074,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Cerastium arvense"
"SAJH  230128","SAJH-00081","Chenopodiaceae","Chenopodium album L.","lambsquarters","Steve Hahn","262",8/3/2001 0:00:00,,"Steve Hahn",9/20/2001 0:00:00,"American Camp:  Jakle's Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500912/5367601",0,"Salt marsh with small hummocks scattered throughout-- full sun",0,0,"salty soil","Salicornia virginica/Cuscuta epithymum/Distichilis spicata","SAJH",5367601,500912,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Chenopodium album"
"SAJH  230129","SAJH-00081","Saxifragaceae","Lithophragma parviflora (Hook.) Nutt.","Prairie star","Steve Hahn","861",4/2/2002 0:00:00,,"Steve Hahn",11/6/2002 0:00:00,"English Camp:  Just off the top of Young Hill to the west","San Juan Island National Historical Park","SAN JUAN","WA","10/489800/5381200",187,"Rocky bald with full sunlight",15,312,"mineral soil","Arrhenatherum elatius/Hypochaeris radicata","SAJH",5381200,489800,8/7/2008 0:00:00,"Lise Grace","Accepted ITIS name is Lithophragma parviflorum (Hook.) Nutt.","Lithophragma parviflorum"
"SAJH  230130","SAJH-00081","Chenopodiaceae","Chenopodium leptophyllum (Moq.) Wats. var. leptophyllum","slimleaf goosefoot","Steve Hahn","217",7/10/2001 0:00:00,,"Steve Hahn",7/10/2001 0:00:00,"American Camp:  west end of Grandma's Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/498114/5367329",6,"Steep and erosive bluff above the beach",120,155,"mineral soil","Holcus lanatus/Hypochaeris radicata/Plantago maritima","SAJH",5367329,498114,8/7/2008 0:00:00,"Lise Grace","Not in ITIS, in Washington Flora is now Chenopodium leptophyllum","Chenopodium leptophyllum"
"SAJH  230131","SAJH-00081","Chenopodiaceae","Chenopodium leptophyllum (Moq.) Wats. var. leptophyllum","slimleaf goosefoot","Steve Hahn","261",8/3/2001 0:00:00,,"Steve Hahn",9/20/2001 0:00:00,"American Camp:  Jakle's Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500915/5367597",0,"Salt marsh with small hummocks scattered throughout-- full sun",0,0,"salty soil","Salicornia virginica/Cuscuta epithymum/Distichilis spicata","SAJH",5367597,500915,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort. Not in ITIS, now is Chenopodium leptophyllum in Washington Flora","Chenopodium leptophyllum"
"SAJH  230132","SAJH-00081","Chenopodiaceae","Chenopodium leptophyllum (Moq.) Wats. var. leptophyllum","slimleaf goosefoot","Steve Hahn","323",8/3/2001 0:00:00,,"Steve Hahn",9/20/2001 0:00:00,"American Camp:  Jakle's Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500915/5367597",0,"Salt marsh with small hummocks scattered throughout-- full sun",0,0,"salty soil","Salicornia virginica/Cuscuta epithymum/Distichilis spicata","SAJH",5367597,500915,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort. Not in ITIS, now is Chenopodium leptophyllum in Washington Flora","Chenopodium leptophyllum"
"SAJH  230133","SAJH-00081","Asteraceae","Cichorium intybus L.","Common chicory","Teresa DeKoker","148",7/26/2001 0:00:00,,"Steve Hahn",7/26/2001 0:00:00,"American Camp:  Pickett's Lane-- roadside","San Juan Island National Historical Park","SAN JUAN","WA","10/499882/5367405",30,"Roadside composed of compacted gravel-- full sun",1,190,"gravel","Crepis capillaris/Cirsium arvense/Agrostis sp.","SAJH",5367405,499882,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Cichorium intybus"
"SAJH  230134","SAJH-00081","Onagraceae","Circaea alpina L.","small enchanter's nightshade","Teresa DeKoker","111",6/27/2001 0:00:00,,"Steve Hahn",6/27/2001 0:00:00,"American Camp:  deciduous forest across Cattle Pt. Rd. from 4th of July Beach Rd.","San Juan Island National Historical Park","SAN JUAN","WA","10/499399/5368196",12,"Forested wetland",2,45,"duff","Alnus rubra/Rubus spectabilis/Urtica dioica","SAJH",5368196,499399,,"",,"Circaea alpina"
"SAJH  230135","SAJH-00081","Onagraceae","Circaea alpina L.","small enchanter's nightshade","Steve Hahn","371",6/27/2001 0:00:00,,"Steve Hahn",6/27/2001 0:00:00,"American Camp:  deciduous forest across Cattle Pt. Rd. from 4th of July Beach Rd.","San Juan Island National Historical Park","SAN JUAN","WA","10/499399/5368196",12,"Forested wetland",2,45,"duff","Alnus rubra/Rubus spectabilis/Urtica dioica","SAJH",5368196,499399,,"",,"Circaea alpina"
"SAJH  230136","SAJH-00081","Asteraceae","Cirsium arvense Wimmer & Grab.","Canadian thistle","Steve Hahn","218",7/10/2001 0:00:00,,"Steve Hahn",7/10/2001 0:00:00,"American Camp:  bluffs above the west side of Grandma's Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/498114/5367329",8,"Coastal bluffs above the Straits",25,185,"sand","Hypochaeris radicata/Holcus lanatus/Dactylis glomerata","SAJH",5367329,498114,,"",,"Cirsium arvense"
"SAJH  230137","SAJH-00081","Asteraceae","Cirsium vulgare (Savi) Tenore","bull thistle","Steve Hahn","213",7/10/2001 0:00:00,,"Steve Hahn",7/10/2001 0:00:00,"American Camp:  south of the visitors center 200m into prairie","San Juan Island National Historical Park","SAN JUAN","WA","10/498265/5367855",44,"Prairie dominated by adventive grasses and forbs-- full sun",3,218,"mineral soil","Holcus lanatus/Dactylis glomerata/Vicia hirsuta/Poa pratensis","SAJH",5367855,498265,8/7/2008 0:00:00,"Lise Grace","Fixed typo in Scientific Name","Cirsium vulgare"
"SAJH  230138","SAJH-00081","Portulacaceae","Claytonia perfoliata (Donn) Willd.","miner's lettuce","Steve Hahn","47",5/25/2001 0:00:00,,"Steve Hahn",5/25/2001 0:00:00,"American Camp:  along the trail to Mount Finlayson-- 25m south of a grove of large Douglas Firs","San Juan Island National Historical Park","SAN JUAN","WA","10/500435/5367380",40,"Open meadow-- plants growing under several large trees-- partial sun",8,88,"mineral soil","Poa pratensis/Amsinckia menziesii","SAJH",5367380,500435,,"",,"Claytonia perfoliata"
"SAJH  230139","SAJH-00081","Portulacaceae","Claytonia sibirica var. sibirica L.","Siberian springbeauty","Teresa DeKoker","110",6/27/2001 0:00:00,,"Steve Hahn",6/27/2001 0:00:00,"American Camp:  approx. 8m from Cattle Point Rd.","San Juan Island National Historical Park","SAN JUAN","WA","10/499521/5368224",9,"Edge of wetland / M164alder grove--partial sun",8,69,"duff","Ranunculus repens/Alnus rubra/Rubus spectabilis","SAJH",5368224,499521,,"",,"Claytonia sibirica var. sibirica"
"SAJH  230140","SAJH-00081","Labiatae","Clinopodium douglasii (Benth.) Kuntze","yerba buena","Steve Hahn","147",6/15/2001 0:00:00,,"Steve Hahn",6/15/2001 0:00:00,"English Camp:  Bell Point trail-- near the Parade Grounds","San Juan Island National Historical Park","SAN JUAN","WA","10/488622/5381608",9,"Coniferous forest-- partial shade-- dominated by PSEMEN and ARBMEN",14,228,"mineral soil","Festuca subulata/Festuca occidentalis/Lonicera hispidula","SAJH",5381608,488622,,"",,"Clinopodium douglasii"
"SAJH  230141","SAJH-00081","Labiatae","Clinopodium douglasii (Benth.) Kuntze","yerba buena","Steve Hahn","427",6/15/2001 0:00:00,,"Steve Hahn",6/15/2001 0:00:00,"English Camp:  Bell Point trail-- near the Parade Grounds","San Juan Island National Historical Park","SAN JUAN","WA","10/488622/5381608",9,"Coniferous forest-- partial shade-- dominated by PSEMEN and ARBMEN",14,228,"mineral soil","Festuca subulata/Festuca occidentalis/Lonicera hispidula","SAJH",5381608,488622,,"",,"Clinopodium douglasii"
"SAJH  230142","SAJH-00081","Orchidaceae","Corallorrhiza maculata Raf.","spotted coralroot","Steve Hahn","76",5/30/2001 0:00:00,,"Steve Hahn",5/30/2001 0:00:00,"English Camp:  coniferous forest between the West Valley Road and Young Hill Cemetary","San Juan Island National Historical Park","SAN JUAN","WA","10/489450/5381275",76,"Coniferous forest dominated by Douglas fir and grand fir-- partial sun",10,289,"mineral soil","Vicia sativa/Osmorhiza chilensis/Trientalis borealis","SAJH",5381275,489450,,"",,"Corallorrhiza maculata"
"SAJH  230143","SAJH-00081","Orchidaceae","Corallorrhiza mertensiana (Bong.)","Pacific coralroot","Steve Hahn","199",7/2/2001 0:00:00,,"Steve Hahn",7/2/2001 0:00:00,"American Camp:  along the eastern boundary-- next to the Cattle Point water tower","San Juan Island National Historical Park","SAN JUAN","WA","10/501911/5367194",23,"Coniferous forest dominated by Douglas fir and grand fir-- partial sun",58,42,"mineral soil","Osmorhiza chilensis/Trientalis borealis/Festuca subulata","SAJH",5367194,501911,,"",,"Corallorrhiza mertensiana"
"SAJH  230144","SAJH-00081","Cornaceae","Cornus sericea ssp. occidentalis (T.&G.) Hitchc.","western dogwood","Teresa DeKoker","95",6/25/2001 0:00:00,,"Teresa DeKoker",6/25/2001 0:00:00,"American Camp:  wetland adjacent 4th of July Beach parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499643/5368304",8,"Periphery of wetland-- growing in thickets-- full sun",6,100,"mineral soil","Ranunculus repens/ Juncus sp.","SAJH",5368304,499643,,"",,"Cornus sericea ssp. occidentalis"
"SAJH  230145","SAJH-00081","Rosaceae","Cotoneaster horizontalis","rockspray cotoneaster","Steve Hahn","180",6/26/2001 0:00:00,,"Steve Hahn",9/26/2001 0:00:00,"American Camp:  20m. East of the Cattle Point Road in prairie to the south of 4th of July Beach","San Juan Island National Historical Park","SAN JUAN","WA","10/499720/5368095",12,"Old homestead meadow-- dominated by adventive species-- full sun",8,65,"mineral soil","Fragaria vesca/Holcus lanatus/Sambucus racemosa","SAJH",5368095,499720,,"",,"Cotoneaster horizontalis"
"SAJH  230146","SAJH-00081","Rosaceae","Crataegus monogyna Jacq.","English hawthorn","Steve Hahn","101",6/6/2001 0:00:00,,"Steve Hahn",6/6/2001 0:00:00,"American Camp:  along the trail between the Laundress' and Officer's Quarters","San Juan Island National Historical Park","SAN JUAN","WA","10/498475/5367840",49,"Trailside shrub thickets-- interspersed throughout prairie",3,217,"mineral soil","Rosa nutkana/Symphoricarpus albus/Dactylis glomerata","SAJH",5367840,498475,,"",,"Crataegus monogyna"
"SAJH  230147","SAJH-00081","Rosaceae","Crataegus suksdorfii (Sarg.) Kruschke","Suksdorf's hawthorn","Steve Hahn","37",5/24/2001 0:00:00,,"Steve Hahn",5/24/2001 0:00:00,"American Camp:  growing east of Pickett's Lane in sand dunes","San Juan Island National Historical Park","SAN JUAN","WA","10/500080/5367395",26,"Krumhlotz trees gowing in the sand dune swales",5,196,"sand","Urtica dioica/Pteridium aquilinum/Amsinckia menziesii","SAJH",5367395,500080,,"",,"Crataegus suksdorfii"
"SAJH  230148","SAJH-00081","Asteraceae","Crepis capillaris (L.) Wallr.","smooth hawk's-beard","Steve Hahn","112",6/7/2001 0:00:00,,"Steve Hahn",9/19/2001 0:00:00,"American Camp:  sand dunes east of Pickett's Lane","San Juan Island National Historical Park","SAN JUAN","WA","10/500000/5367300",18,"Occurs in vegetated swales inbetween sand dunes-- full sun",5,180,"sand","Hypochaeris radicata/Vulpia sp/Bromus sp.","SAJH",5367300,500000,,"",,"Crepis capillaris"
"SAJH  230149","SAJH-00081","Cuscutaceae","Cuscuta salina Engelm.","saltmarsh dodder","Steve Hahn","91",6/5/2001 0:00:00,,"Steve Hahn",6/5/2001 0:00:00,"American Camp:  Old Towne lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500045/5368125",1,"Salicornia salt marsh",0,0,"saline soil","Salicornia virginica/Distichilis spicata/Juncus sp.","SAJH",5368125,500045,,"",,"Cuscuta salina"
"SAJH  230150","SAJH-00081","Cuscutaceae","Cuscuta salina Engelm.","saltmarsh dodder","Teresa DeKoker","168",8/3/2001 0:00:00,,"Steve Hahn",8/3/2001 0:00:00,"American Camp:  Jakle's Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500912/5367601",0,"Along the edges of a brackish water lagoon-- full sun",0,0,"Salicornia","Atriplex patula","SAJH",5367601,500912,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Cuscuta salina"
"SAJH  230151","SAJH-00081","Scrophulariaceae","Cymbalaria muralis (Hill)","Kenilworth ivy","Steve Hahn","98",6/5/2001 0:00:00,,"Steve Hahn",6/5/2001 0:00:00,"American Camp:  south from Old Towne Lagoon 250m-- along beach","San Juan Island National Historical Park","SAN JUAN","WA","10/500275/5368005",2,"Creeping down a collapsing bank along the beach",55,20,"rocky soil","Symphoricarpus albus/Circium arvense/Rubus discolor","SAJH",5368005,500275,,"",,"Cymbalaria muralis"
"SAJH  230152","SAJH-00081","Scrophulariaceae","Cymbalaria muralis (Hill)","Kenilworth ivy","Steve Hahn","352",6/5/2001 0:00:00,,"Steve Hahn",6/5/2001 0:00:00,"American Camp:  south from Old Towne Lagoon 250m-- along beach","San Juan Island National Historical Park","SAN JUAN","WA","10/500275/5368005",2,"Creeping down a collapsing bank along the beach",55,20,"rocky soil","Symphoricarpus albus/Circium arvense/Rubus discolor","SAJH",5368005,500275,,"",,"Cymbalaria muralis"
"SAJH  230153","SAJH-00081","Poaceae","Cynosurus cristatus L.","crested dogtail","Steve Hahn","160",6/23/2001 0:00:00,,"Steve Hahn",6/24/2001 0:00:00,"English Camp:  along the service road that runs north from the Parade Grounds","San Juan Island National Historical Park","SAN JUAN","WA","10/489006/5381832",11,"Compacted roadside-- full sun",6,301,"rocky/mineral soil","Trifolium repens/Bellis perennis","SAJH",5381832,489006,,"",,"Cynosurus cristatus"
"SAJH  230154","SAJH-00081","Poaceae","Cynosurus echinatus L.","bristly dogtail","Steve Hahn","62",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp:  adjacent to a rock outcrop down slope from the cemetary","San Juan Island National Historical Park","SAN JUAN","WA","10/489525/5381130",91,"Open Oak grassland with rock outcropping",3,271,"mineral soil","Quercus garryana/Poa pratensis/Lolium perenne","SAJH",5381130,489525,,"",,"Cynosurus echinatus"
"SAJH  230155","SAJH-00081","Poaceae","Cynosurus echinatus L.","bristly dogtail","Steve Hahn","340",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp:  adjacent to a rock outcrop down slope from the cemetary","San Juan Island National Historical Park","SAN JUAN","WA","10/489525/5381130",91,"Open Oak grassland with rock outcropping",3,271,"mineral soil","Quercus garryana/Poa pratensis/Lolium perenne","SAJH",5381130,489525,,"",,"Cynosurus echinatus"
"SAJH  230156","SAJH-00081","Poaceae","Dactylis glomerata L.","orchard grass","Steve Hahn","5",5/23/2001 0:00:00,,"Steve Hahn",5/23/2001 0:00:00,"American Camp:  in meadow below Jakle's Lagoon parking lot along trail to Old Town Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500075/5367850",24,"Compacted edges of parking lot-- on disturbed ground",2,300,"gravel","Bromus sterilis/Erodium cicutarium","SAJH",5367850,500075,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Dactylis glomerata"
"SAJH  230157","SAJH-00081","Poaceae","Danthonia californica (Boland.)","California oatgrass","Steve Hahn","107",6/6/2001 0:00:00,,"Steve Hahn",6/6/2001 0:00:00,"American Camp:  trail from visitor center to Grandma's Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/498366/5367576",37,"Small bedrock bald set among the tall grass of the prairie-- with deep rich soil",1,194,"mineral soil","Bromus sp./Holcus lanatus/Rosa nutkana","SAJH",5367576,498366,,"",,"Danthonia californica"
"SAJH  230158","SAJH-00081","Apiaceae","Daucus carota (L.)","Queen Anne's lace","Steve Hahn","207",7/2/2001 0:00:00,,"Steve Hahn",7/2/2001 0:00:00,"American Camp:  Prairie above Cattle Point Road just before the eastern boundary","San Juan Island National Historical Park","SAN JUAN","WA","10/501905/5366840",46,"Meadow dominated by adventive species-- full sun",18,203,"mineral soil","Holcus lanatus/Agrostis sp./Hypochaeris radicata","SAJH",5366840,501905,,"",,"Daucus carota"
"SAJH  230159","SAJH-00081","Poaceae","Deschampsia elongata (Hook.) Munro","slender hairgrass","Steve Hahn","209",7/9/2001 0:00:00,,"Steve Hahn",7/10/2001 0:00:00,"American Camp:  Jakle's Lagoon trail","San Juan Island National Historical Park","SAN JUAN","WA","10/501367/5367610",30,"Growing along an old roadway-- in a Douglas fir dominated forest",3,344,"mineral soil","Holodiscus discolor/Rosa gymnocarpa/Polystichum munitum","SAJH",5367610,501367,,"",,"Deschampsia elongata"
