Herbarium	Accession Number	Family	Genus	Species	Species Author	Subtype	Subtaxon	Subtaxon Author	ID Doubted	Scientific Name	Accepted Name (Taxon Name)	Determiner	Determination Day	Determination Month	Determination Year	Collector	Collector Number Prefix	Collector Number	Collector Number Suffix	Full Collector Number	Associated Collectors	Collection Day	Collection Month	Collection Year	Site Code	Country	State	County	Locality	Elevation (Feet)	Elevation (Meters)	Latitude Degrees	Latitude Minutes	Latitude Seconds	North or South	Longitude Degrees	Longitude Minutes	Longitude Seconds	West or East	Site Description	Specimen Description	Origin	Phenology
WTU	355879	Boraginaceae	Myosotis	discolor	Pers.					Myosotis discolor	Myosotis discolor	Ben Legler	20	May	2004	Ben Legler		1571		1571	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve, The Nature Conservancy; around southwest side of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh, with Salicornia, Lathyrus japonicus, grasses."	White flowered albinos; mixed with normal blue-flowered plants; common.	Introduced	Flowering
WTU	355618	Boraginaceae	Myosotis	discolor	Pers.					Myosotis discolor	Myosotis discolor	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	6		PWD 6		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Flowering
WTU	356222	Brassicaceae	Arabidopsis	thaliana	(L.) Schur					Arabidopsis thaliana	Arabidopsis thaliana	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD 	97		PWD 97	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	Common; white flowers.	Introduced	Flowering
WTU	355863	Brassicaceae	Arabis	glabra	(L.) Bernh.					Arabis glabra	Arabis glabra	Ben Legler	20	May	2004	Ben Legler		1508		1508		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	Flowers cream; common in grass on slope; seeds biseriate.	Native	Fertile
WTU	355625	Brassicaceae	Arabis	glabra	(L.) Bernh.					Arabis glabra	Arabis glabra	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	39		PWD 39		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Seeds biseriate.	Native	Flowering
WTU	355633	Brassicaceae	Brassica	campestris	L.					Brassica campestris	Brassica rapa var. rapa	Ben Legler	20	May	2004	Ben Legler		1488		1488		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	"Flowers bright yellow, 19 mm diameter; taprooted; abundant on slope above lot."	Introduced	Flowering & Fruiting
WTU	355613	Brassicaceae	Brassica	campestris	L.					Brassica campestris	Brassica rapa var. rapa		20		2004	Peter W. Dunwiddie	PWD 	14		PWD 14		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Flowering & Fruiting
WTU	357058	Brassicaceae	Cakile	edentula	(Bigel.) Hook.					Cakile edentula	Cakile edentula	Ben Legler	6	Oct	2004	Jeff Walker		291		291		10	Sep	2004	Jeff Walker_2004-Sep-10__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; at edge of bluff on beach."	3	1	48	11	42	N	122	42	56	W		Infrequent on beach with more common Cakile maritima.	Introduced	Flowering & Fruiting
WTU	355979	Brassicaceae	Cakile	maritima	Scop.					Cakile maritima	Cakile maritima	Ben Legler	24	Jun	2004	Ben Legler		1711		1711		4	Jun	2004	Ben Legler_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at beach-side parking lot on Hill Road."	7	2	48	11.56		N	122	42.44		W	Weedy gravel parking area bordering gravelly beach and driftwood.	Flowers light purple; taprooted plants on upper edge of beach.	Introduced	Flowering
WTU	355617	Brassicaceae	Capsella	bursa-pastoris	(L.)					Capsella bursa-pastoris	Capsella bursa-pastoris	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	8		PWD 8		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Flowering
WTU	355635	Brassicaceae	Cardamine	hirsuta	L.					Cardamine hirsuta	Cardamine hirsuta	P. F. Zika	30	Apr	2004	Ben Legler		1485		1485		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	On gravelly edge of parking lot.	Introduced	Flowering & Fruiting
WTU	355868	Brassicaceae	Cardamine	oligosperma	Nutt.	var.	oligosperma			Cardamine oligosperma var. oligosperma	Cardamine oligosperma var. oligosperma	Ben Legler	20	May	2004	Ben Legler		1578		1578	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	"In woods; moist soil, with Tiarella."	Native	Fertile
WTU	355521	Brassicaceae	Cardamine	oligosperma	Nutt.	var.	oligosperma			Cardamine oligosperma var. oligosperma	Cardamine oligosperma var. oligosperma	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	70		PWD 70		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	In woods.	Native	Flowering & Fruiting
WTU	356633	Brassicaceae	Cardamine	oligosperma	Nutt.	var.	oligosperma			Cardamine oligosperma var. oligosperma	Cardamine oligosperma var. oligosperma	Ben Legler	14	Jul	2004	Peter W. Dunwiddie	PWD 	29		PWD 29		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."		Native	Fertile
WTU	355636	Brassicaceae	Coronopus	didymus	(L.) J.E. Smith					Coronopus didymus	Coronopus didymus	Ben Legler	20	May	2004	Ben Legler		1484		1484		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	"Flowers greenish, fruit green, prostrate."	Introduced	Flowering & Fruiting
WTU	357100	Brassicaceae	Lepidium	virginicum	L.					Lepidium virginicum	Lepidium virginicum	Ben Legler	6	Oct	2004	Don Knoke		726		726		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Flowers white; uncommon; gravelly soil.	Native	Fruiting
WTU	357068	Brassicaceae	Lepidium	virginicum	L.					Lepidium virginicum	Lepidium virginicum	Ben Legler	6	Oct	2004	Jeff Walker		265		265		10	Sep	2004	Jeff Walker_2004-Sep-10__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; around the western and northern edges of Perego?s Lagoon."	5	2	48	12	8	N	122	44	5	W		In gravel behind drift logs; common.	Native	Flowering & Fruiting
WTU	357081	Brassicaceae	Lobularia	maritima	(L.) Desv.					Lobularia maritima	Lobularia maritima	Ben Legler	6	Oct	2004	Jeff Walker		276		276		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		Flowers white; common along trail.	Introduced	Flowering
WTU	355649	Brassicaceae	Sisymbrium	altissimum	L.					Sisymbrium altissimum	Sisymbrium altissimum	Ben Legler	20	May	2004	Ben Legler		1507		1507		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	"Flowers pale yellow, fading to cream; scattered."	Introduced	Flowering
WTU	356483	Brassicaceae	Sisymbrium	altissimum	L.					Sisymbrium altissimum	Sisymbrium altissimum	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	32		PWD 32		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."		Introduced	Flowering
WTU	355976	Brassicaceae	Sisymbrium	officinale	(L.) Scop.					Sisymbrium officinale	Sisymbrium officinale	Ben Legler	24	Jun	2004	Ben Legler		1715		1715		4	Jun	2004	Ben Legler_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at beach-side parking lot on Hill Road."	7	2	48	11.56		N	122	42.44		W	Weedy gravel parking area bordering gravelly beach and driftwood.	Flowers yellow; common weed.	Introduced	Flowering
WTU	355614	Brassicaceae	Sisymbrium	officinale	(L.) Scop.					Sisymbrium officinale	Sisymbrium officinale	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	13		PWD 13		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Flowering
WTU	357726	Cactaceae	Opuntia	engelmannii	Salm-Dyck				?	Opuntia engelmannii		Ben Legler	26	Oct	2004	Ben Legler		1707		1707		4	Jun	2004	Ben Legler_2004-Jun-4__C	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	"Open, grassy, SW-facing bluff backed by Pseudotsuga forest."	"One large plant 1 meter tall by 2 meters broad on slope of bluff, 2 smaller plants nearby (animal-disseminated?); pads 3 cm thick by 20-30 cm long; strongly flattened; stems jointed; last year?s fruits to 3 cm long."	Introduced	Fruiting
WTU	356628	Cactaceae	Opuntia	fragilis	(Nutt.) Haw.					Opuntia fragilis	Opuntia fragilis	Ben Legler	20	May	2004	Ben Legler		1518		1518		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	"Common on eroding, sandy portions of bluff, near base."	Native	Sterile
WTU	355986	Caprifoliaceae	Lonicera	hispidula	(Lindl.) Dougl.					Lonicera hispidula	Lonicera hispidula	Ben Legler	24	Jun	2004	Ben Legler		1709		1709		4	Jun	2004	Ben Legler_2004-Jun-4__C	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	"Open, grassy, SW-facing bluff backed by Pseudotsuga forest."	Flowers light purple; shrub-like vines forming extensive patches.	Native	Flowering
WTU	356089	Caprifoliaceae	Lonicera	hispidula	(Lindl.) Dougl.					Lonicera hispidula	Lonicera hispidula	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD 	107		PWD 107	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	Frequent; pink flowers.	Native	Flowering
WTU	357077	Caprifoliaceae	Lonicera	involucrata	(Rich.) Banks					Lonicera involucrata	Lonicera involucrata	Ben Legler	6	Oct	2004	Jeff Walker		282		282		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		3 meters tall; small opening in woods.	Native	Sterile
WTU	355627	Caprifoliaceae	Sambucus	racemosa	L.	var.	arborescens	(T. & G.) Gray		Sambucus racemosa var. arborescens	Sambucus racemosa var. racemosa	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	42		PWD 42		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Flowers white.	Native	Fertile
WTU	356248	Caprifoliaceae	Symphoricarpos	albus	(L.) Blake	var.	laevigatus	Fern.		Symphoricarpos albus var. laevigatus	Symphoricarpos albus var. laevigatus	Ben Legler	24	Jun	2004	Ben Legler		1703		1703		4	Jun	2004	Ben Legler_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve; north end and NE shore of Perego?s Lagoon; National Park Service property."	10	3	48	12	11	N	122	44	10	W	Gravelly shore of lagoon and saltmarsh below SW-facing sandy bluff.	Shrubs to 1 meter tall forming thickets at base of bluff; corolla pinkish-white.	Native	Flowering
WTU	356087	Caprifoliaceae	Symphoricarpos	albus	(L.) Blake	var.	laevigatus	Fern.		Symphoricarpos albus var. laevigatus	Symphoricarpos albus var. laevigatus	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD 	99		PWD 99	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	Pink flowers.	Native	Flowering
WTU	355621	Caryophyllaceae	Cerastium	arvense	L.					Cerastium arvense	Cerastium arvense	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	3		PWD 3		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Native	Flowering
WTU	355385	Caryophyllaceae	Cerastium	glomeratum	Thuill.					Cerastium glomeratum	Cerastium glomeratum	Ben Legler	20	May	2004	Ben Legler		1491		1491		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	Small plants with weeds in dry gravel.	Introduced	Flowering
WTU	355386	Caryophyllaceae	Cerastium	glomeratum	Thuill.					Cerastium glomeratum	Cerastium glomeratum	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	59		PWD 59		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."		Introduced	Fertile
WTU	356230	Caryophyllaceae	Cerastium	glomeratum	Thuill.					Cerastium glomeratum	Cerastium glomeratum	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	104		PWD 104	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.		Introduced	Flowering
WTU	357098	Caryophyllaceae	Cerastium	vulgatum	L.				?	Cerastium vulgatum	Cerastium fontanum ssp. vulgare	Ben Legler	6	Oct	2004	Don Knoke		728		728		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Flowers white; uncommon; gravelly soil.	Introduced	Flowering & Fruiting
WTU		Caryophyllaceae	Honkenya	peploides	(L.) Ehrb.					Honkenya peploides	Honckenya peploides	Ben Legler	6	Oct	2004	Jeff Walker		256		256		10	Sep	2004	Jeff Walker_2004-Sep-10__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; at edge of bluff on beach."	3	1	48	11	42	N	122	42	56	W		Rare - only one plant observed; on beach.	Native	Sterile
WTU	356485	Caryophyllaceae	Silene	latifolia	Poir.	ssp.	alba	(P. Mill.) Greuter & Burdet		Silene latifolia ssp. alba	Silene latifolia ssp. alba	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	26		PWD 26		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Flowers white; locally abundant; to 50 cm.	Introduced	Flowering
WTU	357110	Caryophyllaceae	Lychnis	dioica	L.				?	Lychnis dioica	Silene dioica	Ben Legler	6	Oct	2004	Jeff Walker		285		285		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		Near bluff trail near edge of agricultural fields.	Introduced	Flowering & Fruiting
WTU	356490	Caryophyllaceae	Sagina	apetala	L.					Sagina apetala	Sagina apetala	Ben Legler	20	May	2004	Ben Legler		1516		1516		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	"Prostrate to ascending in sandy compacted soil of footpath with Aphanes, Poa annua; locally common."	Introduced	Fertile
WTU	356229	Caryophyllaceae	Sagina	procumbens	L.					 	Sagina procumbens	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	101		PWD 101	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	"Flowers white, five petals."	Introduced	Flowering
WTU	355644	Caryophyllaceae	Silene	gallica	L.					Silene gallica	Silene gallica	Ben Legler	26	May	2004	Ben Legler		1513		1513		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	"Flowers small, white fading to pink, not lobed at tip; uncommon annual on base of slope."	Introduced	Fertile
WTU	356486	Caryophyllaceae	Silene	latifolia	Poir.	ssp.	alba	(P. Mill.) Greuter & Burdet	?	Silene latifolia ssp. alba	Silene latifolia ssp. alba	Ben Legler	28	Jun	2004	Ben Legler		1706		1706		4	Jun	2004	Ben Legler_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve; north end and NE shore of Perego?s Lagoon; National Park Service property."	10	3	48	12	11	N	122	44	10	W	Gravelly shore of lagoon and saltmarsh below SW-facing sandy bluff.	Flowers pink; stems to 1 meter tall; on lower part of bluff.	Introduced	Flowering
WTU	357724	Caryophyllaceae	Silene	scouleri	Hook.	var.	scouleri			Silene scouleri var. scouleri	Silene scouleri ssp. scouleri var. scouleri	Ben Legler	26	Oct	2004	Jeff Walker		277		277		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		Flowers reddish-purple; petals bilobed; 2 appendages and 2 lobes on sides.	Native	Flowering & Fruiting
WTU	355985	Caryophyllaceae	Spergularia	canadensis	(Pers.) G. Don				?	Spergularia canadensis	Spergularia canadensis	Ben Legler	28	Jun	2004	Ben Legler		1682		1682		4	Jun	2004	Ben Legler_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; on the south end of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh dominated by Salicornia virginica and Distichlys spicata, at base of steep SW-facing sandy bluff."	Flowers white; seeds wing-margined; common in mud in marsh.	Native	Flowering & Fruiting
WTU	356221	Caryophyllaceae	Spergularia	rubra	(L.) Presl					Spergularia rubra	Spergularia rubra	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	98		PWD 98	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	Frequent; pink flowers.	Introduced	Flowering
WTU	355525	Caryophyllaceae	Stellaria	crispa	Cham. & Schlecht.					Stellaria crispa	Stellaria crispa	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	75		PWD 75		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	In woods.	Native	Flowering
WTU	356492	Caryophyllaceae	Stellaria	media	(L.) Cyrill.					Stellaria media	Stellaria media	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	15		PWD 15		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Fertile
WTU	356227	Caryophyllaceae	Stellaria	media	(L.) Cyrill.					Stellaria media	Stellaria media	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	84		PWD 84	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, sheep barn."			48	11.789		N	122	43.020		W	"Ruderal species invading unplowed field: Brassicaceae, Amsinckia, Sisymbrium."	White flowers; common.	Introduced	Flowering
WTU	357075	Chenopodiaceae	Atriplex	dioica	(Nutt.) Macbr.					Atriplex dioica		Ben Legler	13	Oct	2004	Jeff Walker		261	B	261B		10	Sep	2004	Jeff Walker_2004-Sep-10__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; south end of Perego?s Lagoon."	5	2	48	11	50	N	122	43	30	W		With drift logs at upper end of beach.	Native	Fruiting
WTU	357063	Chenopodiaceae	Atriplex	gmelinii	C.A. Mey. ex Bong.	var.	gmelinii			Atriplex gmelinii var. gmelinii		Ben Legler	13	Oct	2004	Jeff Walker		263		263		10	Sep	2004	Jeff Walker_2004-Sep-10__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; south end of Perego?s Lagoon."	5	2	48	11	50	N	122	43	30	W		"Growing with Salicornia virginica, Atriplex dioica, and Distichlis spicata.  In coarse sand among small drift logs."	Native	Fruiting
WTU	357061	Chenopodiaceae	Atriplex	patula	L.					Atriplex patula	Atriplex patula	Ben Legler	13	Oct	2004	Jeff Walker		261	A	261A		10	Sep	2004	Jeff Walker_2004-Sep-10__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; south end of Perego?s Lagoon."	5	2	48	11	50	N	122	43	30	W		Annual; leaves reddish with white mealy surface; growing in salt marsh with Salicornia; scattered and uncommon.	Introduced	Fruiting
WTU	357062	Chenopodiaceae	Atriplex	patula	L.					Atriplex patula	Atriplex patula	Ben Legler	13	Oct	2004	Jeff Walker		262		262		10	Sep	2004	Jeff Walker_2004-Sep-10__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; south end of Perego?s Lagoon."	5	2	48	11	50	N	122	43	30	W		Narrower leaves.	Introduced	Fruiting
WTU	357117	Chenopodiaceae	Atriplex	prostrata	Bouch‚r ex DC.					Atriplex prostrata	Atriplex prostrata	Ben Legler	13	Oct	2004	Jeff Walker		284		284		10	Sep	2004	Jeff Walker_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; east side of Perego?s Lagoon."	5	2	48	12	6	N	122	43	53	W		Upper edge of salt marsh with Distichlis at far end of north lagoon; uncommon.	Introduced	Flowering
WTU	356964	Chenopodiaceae	Chenopodium	album	L.					Chenopodium album	Chenopodium album	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	85		PWD 85	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, sheep barn."			48	11.789		N	122	43.020		W	"Ruderal species invading unplowed field: Brassicaceae, Amsinckia, Sisymbrium."	Granular; small flowers yellow; frequent.	Introduced	Flowering
